Result Log
Run 1
1	64
64	65
85	67
100	68
1902	69
7379	70
Run 2
1	56
2	58
4	59
8	61
11	63
27	65
36	66
77	67
245	69
Run 3
1	60
6	63
30	64
41	65
66	68
885	69
4573	70
Run 4
1	62
17	64
42	65
74	66
98	67
874	68
3779	69
8049	70
Run 5
1	61
9	65
16	66
232	67
756	68
4081	69
Run 6
1	60
3	61
4	66
134	67
1923	70
Run 7
1	64
6	65
27	68
325	70
Run 8
1	57
4	61
5	63
11	64
20	65
43	67
79	68
2650	69
Run 9
1	61
3	63
17	64
26	65
29	66
102	67
776	68
3704	70
Run 10
1	60
2	62
8	64
20	66
35	67
404	68
6406	69
Run 11
1	59
5	63
17	64
86	66
194	69
Run 12
1	57
3	59
5	62
11	63
14	65
98	67
136	69
7968	70
Run 13
1	67
55	69
Run 14
1	57
2	64
45	66
88	67
321	69
Run 15
1	58
2	59
6	64
63	65
69	66
124	67
393	68
903	69
3810	70
Run 16
1	61
6	62
8	65
55	66
70	67
450	68
2764	69
7333	70
Run 17
1	60
3	61
8	65
10	67
64	68
313	69
Run 18
1	55
2	61
4	63
17	65
33	66
85	67
120	68
264	69
4163	70
Run 19
1	55
2	63
7	64
12	66
233	67
442	68
1370	69
Run 20
1	60
3	61
7	63
25	64
61	67
167	68
4060	69
8769	70
Run 21
1	56
2	58
3	59
7	60
15	63
16	64
42	65
94	66
364	67
746	68
7463	70
Run 22
1	57
2	66
72	67
727	68
5804	70
Run 23
1	55
2	59
3	63
6	65
91	67
2012	68
2624	69
Run 24
1	64
13	65
44	67
419	68
3340	69
Run 25
1	62
4	63
19	65
145	66
159	67
212	68
473	69
Run 26
1	52
2	61
3	62
9	64
95	67
366	68
4312	69
6306	70
Run 27
1	56
2	57
3	58
4	65
22	68
1034	69
2052	70
Run 28
1	63
11	64
29	66
438	67
545	68
2767	69
6867	70
Run 29
1	57
2	58
3	59
5	61
6	62
8	67
68	68
1038	69
Run 30
1	59
8	63
28	66
81	67
93	68
2317	69
