Result Log
Cnf file: cnfs/1.cnf
Generator Seed: 8472672284
Config file contents: 

cnfs/1.cnf
logs/logdefault.txt
solutions/soldefault.txt
random
30
proportional
truncation
True 10000
True 15
False 2
100
50
No seed
plus
fronts/defparetos.txt

Run 1
3450	40	47	10	17
3500	40	47	10	17
3550	40	47	10	17
3600	40	47	10	17
3650	40	47	10	17
3700	40	47	10	17
3750	40	47	10	17
3800	40	47	10	17
3850	40	47	10	17
3900	40	47	10	17
3950	40	47	10	17
4000	40	47	10	17

Run 4
100	35	46	6	12
150	35	46	6	12
200	35	46	6	13
250	35	46	6	13
300	35	46	6	13
350	35	46	6	13
400	35	46	6	13
450	35	46	6	13
500	35	46	6	14
550	35	46	6	14
600	36	46	6	14
650	36	46	7	14
700	36	46	7	15
750	36	47	7	15
800	36	47	7	15
850	36	47	7	15
900	36	47	7	15
950	36	47	7	15
1000	36	47	7	15
1050	36	48	7	15
1100	36	48	7	15
1150	36	48	7	15
1200	37	48	7	15
1250	37	48	7	15
1300	37	48	7	15
1350	37	48	7	16
1400	37	48	7	16
1450	37	48	8	16
1500	37	48	8	17
1550	37	48	8	17
1600	37	48	8	17
1650	37	48	8	17
1700	37	48	8	17
1750	37	48	8	17
1800	37	48	8	17
1850	37	48	8	17
1900	37	48	9	17
1950	37	48	9	17
2000	37	48	9	17
2050	37	48	9	17
2100	37	48	9	17
2150	37	48	10	17
2200	37	48	10	17
2250	37	48	10	17
2300	37	48	10	17
2350	38	48	10	17
2400	37	48	10	17
2450	37	48	11	18
2500	37	48	11	18
2550	37	48	11	18
2600	37	48	11	18
2650	37	48	11	18
2700	37	48	11	18
2750	37	48	11	18
2800	37	48	11	18
2850	37	48	11	18
2900	37	48	11	18
2950	37	48	11	18
3000	36	48	12	18
3050	36	48	12	18
3100	37	48	12	18
3150	39	48	11	18
3200	39	48	11	18
3250	39	48	11	18
3300	38	48	12	18
3350	40	48	11	18
3400	40	48	11	18
3450	40	48	11	18
3500	40	48	11	18
3550	40	48	11	18
3600	40	48	11	18
3650	40	48	11	18
3700	41	47	11	17
3750	41	47	11	17
3800	41	47	11	17
3850	41	47	11	17
3900	41	47	11	17
3950	41	47	11	17
4000	41	47	11	17
4050	41	47	11	17
4100	41	47	11	17
4150	41	47	11	17
4200	41	47	11	17
4250	41	47	11	17
4300	40	47	11	17
4350	39	47	12	17
4400	39	47	12	17
4450	39	47	12	17
4500	39	47	12	17
4550	39	47	12	17
4600	39	47	12	17
4650	39	47	12	17
4700	39	47	12	17
4750	39	47	12	17
4800	39	47	12	17
4850	39	47	12	17
4900	39	47	12	17
4950	39	47	12	17
5000	39	47	12	17
5050	39	47	12	17
5100	39	47	12	17

Run 5
100	35	45	6	12
150	35	45	6	13
200	35	45	6	15
250	35	45	6	15
300	35	45	6	15
350	36	46	6	15
400	36	46	6	15
450	36	46	6	15
500	36	46	6	15
550	36	46	6	15
600	36	46	6	15
650	36	46	7	15
700	36	46	7	15
750	36	46	7	15
800	36	46	7	15
850	36	46	7	15
900	36	46	7	15
950	36	46	7	15
1000	36	46	7	15
1050	36	46	7	15
1100	36	46	8	15
1150	36	46	8	15
1200	37	46	8	15
1250	37	46	8	15
1300	37	46	8	15
1350	37	46	8	15
1400	37	46	8	15
1450	37	46	8	15
1500	37	47	8	15
1550	37	47	8	15
1600	38	49	8	15
1650	37	49	8	16
1700	38	49	9	16
1750	38	49	9	16
1800	38	49	9	16
1850	38	49	9	16
1900	38	49	9	16
1950	38	49	9	16
2000	38	49	9	16
2050	39	49	9	16
2100	39	49	10	16
2150	39	49	10	16
2200	39	49	10	16
2250	39	49	10	16
2300	39	49	10	16
2350	40	49	10	16
2400	40	49	10	16
2450	39	49	10	16
2500	39	49	10	16
2550	39	49	11	16
2600	39	49	11	16
2650	39	49	11	16
2700	38	49	11	16
2750	38	49	12	16
2800	38	49	12	16
2850	39	49	11	16
2900	38	49	12	16
2950	38	49	12	16
3000	38	49	12	16
3050	38	49	12	16
3100	38	49	12	16
3150	38	49	12	16
3200	38	49	12	16
3250	38	49	12	16
3300	38	49	12	16
3350	38	49	12	16
3400	38	49	12	16
3450	38	49	12	16
3500	38	49	12	16
3550	38	49	12	16
3600	38	49	12	16
3650	38	49	12	16
3700	38	49	12	16
3750	38	49	12	16
3800	38	49	12	16
3850	38	49	12	16
3900	38	49	12	16
3950	38	49	12	16
4000	38	49	12	16
4050	38	49	12	16
4100	38	49	12	16
4150	38	49	12	16
4200	38	49	12	16
4250	38	49	12	16
4300	38	49	12	16
4350	38	49	12	16

Run 6
100	35	46	6	11
150	35	46	6	11
200	35	46	6	11
250	35	46	6	11
300	36	46	6	11
350	36	46	6	11
400	35	46	6	13
450	35	46	6	13
500	35	46	7	13
550	35	46	7	14
600	35	46	7	14
650	35	46	7	14
700	35	46	7	14
750	35	46	7	14
800	35	46	7	15
850	35	46	7	15
900	35	46	7	15
950	35	46	7	16
1000	35	46	7	16
1050	35	46	7	16
1100	35	46	7	16
1150	35	46	7	16
1200	35	46	7	16
1250	35	46	7	16
1300	34	46	8	16
1350	34	46	8	16
1400	34	46	8	16
1450	34	46	8	17
1500	34	46	8	17
1550	34	46	8	17
1600	34	46	8	17
1650	34	47	9	17
1700	33	47	9	17
1750	33	47	9	17
1800	33	47	9	18
1850	33	47	9	18
1900	33	47	9	18
1950	33	47	9	18
2000	33	49	10	18
2050	33	49	10	18
2100	33	49	10	18
2150	33	49	10	19
2200	32	49	10	19
2250	32	49	10	19
2300	32	49	10	19
2350	32	49	10	19
2400	32	49	11	19
2450	32	49	11	19
2500	32	49	11	19
2550	32	49	11	19
2600	32	49	11	19
2650	32	49	11	19
2700	31	49	11	20
2750	31	49	11	20
2800	31	49	12	20
2850	30	49	12	20
2900	31	49	12	20
2950	31	49	12	20
3000	31	49	12	20
3050	31	49	12	20
3100	32	49	12	20
3150	32	49	12	20
3200	32	49	12	20
3250	32	49	12	20
3300	32	49	12	20
3350	33	49	12	20
3400	34	49	12	20
3450	34	50	12	20
3500	36	50	12	20
3550	37	50	11	20
3600	36	50	12	20
3650	36	50	12	20
3700	36	50	12	20
3750	35	50	12	20
3800	35	50	12	20
3850	35	50	12	20
3900	35	50	12	20
3950	35	50	12	20
4000	35	50	12	20
4050	35	50	12	20
4100	35	50	12	20
4150	35	50	12	20
4200	35	50	12	20
4250	35	50	12	20
4300	35	50	12	20
4350	35	50	12	20
4400	35	50	12	20
4450	35	50	12	20
4500	35	50	12	20

Run 7
100	35	45	6	15
150	35	45	6	15
200	35	45	7	15
250	35	45	7	15
300	35	45	7	15
350	35	45	7	15
400	35	45	7	15
450	35	45	7	15
500	35	45	7	15
550	35	45	7	15
600	35	45	7	15
650	35	45	7	15
700	35	45	7	15
750	35	47	7	15
800	35	47	7	15
850	35	47	8	15
900	35	47	8	15
950	35	47	8	15
1000	35	47	8	15
1050	35	47	8	15
1100	35	47	8	15
1150	35	47	8	17
1200	34	47	8	17
1250	34	47	8	17
1300	34	47	9	17
1350	34	47	9	17
1400	34	47	9	17
1450	34	47	9	17
1500	34	47	9	17
1550	34	47	9	17
1600	34	47	9	17
1650	34	48	9	17
1700	34	48	9	17
1750	34	48	10	17
1800	33	48	10	17
1850	33	48	10	17
1900	33	48	10	17
1950	33	48	10	17
2000	33	48	10	17
2050	33	48	11	17
2100	34	48	11	17
2150	34	48	11	17
2200	34	48	11	17
2250	34	48	11	17
2300	34	48	11	17
2350	34	48	11	17
2400	34	48	11	17
2450	34	48	11	18
2500	34	48	11	18
2550	34	48	11	18
2600	33	48	11	18
2650	33	48	12	18
2700	32	48	12	18
2750	34	48	12	18
2800	33	48	12	18
2850	33	48	13	18
2900	33	48	13	18
2950	33	48	13	18
3000	33	47	13	18
3050	33	47	13	18
3100	33	47	13	18
3150	33	47	13	18
3200	33	47	13	18
3250	33	47	13	18
3300	35	47	13	18
3350	35	47	13	18
3400	35	47	13	18
3450	35	47	13	18
3500	35	47	13	18
3550	35	47	13	18
3600	35	47	13	18
3650	35	47	13	18
3700	35	47	13	18
3750	35	47	13	18
3800	35	47	13	18
3850	35	47	13	18
3900	35	47	13	18
3950	35	47	13	18
4000	35	47	13	18
4050	35	47	13	18

Run 8
100	36	44	6	13
150	36	44	6	13
200	36	44	6	13
250	36	44	6	13
300	36	45	6	13
350	36	47	6	13
400	36	47	6	13
450	36	47	6	13
500	36	47	6	13
550	37	47	6	13
600	37	47	6	13
650	37	47	6	13
700	37	47	6	13
750	37	47	7	13
800	38	47	6	13
850	38	47	6	13
900	38	47	6	13
950	38	48	7	13
1000	38	49	7	13
1050	38	49	7	13
1100	39	49	7	13
1150	39	49	7	13
1200	39	49	7	13
1250	39	49	7	13
1300	39	49	7	13
1350	39	49	7	13
1400	39	49	7	13
1450	39	49	7	13
1500	39	49	7	13
1550	39	49	7	13
1600	39	49	7	13
1650	39	49	7	13
1700	39	49	7	13
1750	39	49	7	13
1800	39	49	7	13
1850	39	49	7	13
1900	39	49	7	13
1950	40	50	7	15
2000	40	50	7	15
2050	40	50	7	15
2100	40	50	7	15
2150	40	50	8	15
2200	40	50	8	15
2250	41	50	8	15
2300	41	50	8	15
2350	41	50	8	15
2400	41	50	8	15
2450	41	50	8	15
2500	41	50	8	15
2550	41	50	8	15
2600	41	50	8	15
2650	41	50	8	15
2700	41	50	8	15
2750	41	50	9	16
2800	41	50	9	16
2850	41	50	9	16
2900	41	50	9	16
2950	41	50	9	16
3000	41	50	9	16
3050	41	50	9	16
3100	41	50	9	16
3150	41	50	9	16
3200	41	50	10	16
3250	40	50	10	16
3300	40	50	10	16
3350	40	50	10	16
3400	40	50	10	16
3450	40	50	10	16
3500	40	50	10	16
3550	40	50	10	16
3600	41	50	10	16
3650	40	50	11	16
3700	41	50	10	16
3750	42	50	10	16
3800	43	50	10	16
3850	43	50	10	16
3900	42	50	10	16
3950	42	50	10	16
4000	42	50	10	16
4050	42	50	10	16
4100	42	50	10	16
4150	42	50	10	16
4200	42	50	10	16
4250	42	50	10	16
4300	43	50	10	16
4350	43	50	10	16
4400	43	50	9	16
4450	43	50	10	16
4500	42	50	10	16
4550	42	50	10	16
4600	42	50	10	16
4650	42	50	10	16
4700	42	50	10	16
4750	42	50	10	16
4800	42	50	10	16
4850	42	50	10	16
4900	42	50	10	16
4950	42	50	10	16
5000	42	50	10	16
5050	42	50	10	16
5100	42	50	10	16
5150	42	50	10	16
5200	42	50	10	16

Run 9
100	35	45	6	13
150	35	45	6	13
200	35	45	6	13
250	35	45	6	13
300	36	46	6	13
350	36	46	6	13
400	36	46	6	13
450	36	46	6	13
500	36	47	6	13
550	36	47	6	13
600	36	47	6	13
650	36	47	7	14
700	36	47	7	15
750	36	47	7	15
800	36	48	7	15
850	36	48	7	15
900	36	48	7	15
950	36	48	7	15
1000	36	48	7	15
1050	36	48	7	15
1100	36	48	7	15
1150	36	48	7	15
1200	36	48	7	15
1250	36	48	7	15
1300	36	48	7	15
1350	36	48	7	15
1400	37	48	8	15
1450	37	48	8	15
1500	37	48	8	15
1550	37	49	8	15
1600	37	49	8	15
1650	37	49	8	15
1700	37	49	8	15
1750	38	49	8	15
1800	38	49	8	15
1850	38	49	8	15
1900	38	49	8	15
1950	38	49	9	15
2000	38	49	9	17
2050	38	49	9	17
2100	38	49	9	17
2150	39	49	9	17
2200	39	49	9	17
2250	39	49	10	17
2300	39	49	10	17
2350	39	49	10	17
2400	39	49	10	17
2450	40	49	10	17
2500	40	49	10	17
2550	40	49	10	17
2600	40	49	11	17
2650	39	49	12	17
2700	39	49	11	17
2750	39	49	11	17
2800	39	49	11	17
2850	39	49	11	17
2900	39	49	11	17
2950	40	49	11	15
3000	40	49	11	14
3050	40	49	11	14
3100	40	49	11	14
3150	40	49	11	14
3200	40	49	11	14
3250	40	49	11	14
3300	40	49	11	14
3350	40	49	11	14
3400	40	49	11	14
3450	40	49	11	14
3500	40	49	11	14
3550	40	49	11	14
3600	40	49	11	14
3650	40	49	11	14
3700	40	49	11	14
3750	40	49	11	14
3800	40	49	11	14

Run 10
100	36	47	6	12
150	36	49	6	12
200	36	49	6	12
250	36	49	6	12
300	36	50	6	12
350	36	50	6	13
400	36	50	6	13
450	36	50	6	13
500	36	50	6	13
550	36	50	6	13
600	36	50	6	14
650	36	50	7	14
700	36	50	7	14
750	36	50	7	14
800	36	50	7	14
850	36	50	7	14
900	36	50	7	14
950	36	50	7	14
1000	36	50	7	14
1050	37	50	7	14
1100	37	50	7	14
1150	36	50	7	15
1200	36	50	7	16
1250	36	50	7	16
1300	36	50	7	16
1350	37	50	7	16
1400	37	50	7	16
1450	36	50	8	16
1500	36	50	8	16
1550	36	50	8	16
1600	36	50	8	16
1650	36	50	8	16
1700	36	50	8	16
1750	36	50	9	16
1800	36	50	9	16
1850	35	50	10	17
1900	35	50	10	17
1950	35	50	11	17
2000	35	50	11	17
2050	35	50	11	17
2100	35	50	12	17
2150	35	50	12	17
2200	35	50	12	17
2250	35	50	12	17
2300	36	50	12	17
2350	36	50	12	17
2400	36	50	12	17
2450	36	50	12	17
2500	37	50	12	17
2550	36	50	12	17
