From log files: fronts/test1.txt, fronts/test2.txt
Exp. 1	Exp. 2
70.0	63.3333333333
93.3333333333	33.3333333333
63.3333333333	90.0
0.0	86.6666666667
0.0	40.0
10.0	73.3333333333
53.3333333333	60.0
76.6666666667	30.0
53.3333333333	30.0
70.0	36.6666666667
50.0	100.0
90.0	86.6666666667
16.6666666667	43.3333333333
56.6666666667	43.3333333333
76.6666666667	36.6666666667
20.0	20.0
93.3333333333	36.6666666667
63.3333333333	60.0
20.0	33.3333333333
13.3333333333	33.3333333333
40.0	10.0
20.0	60.0
53.3333333333	80.0
56.6666666667	96.6666666667
16.6666666667	86.6666666667
70.0	6.66666666667
6.66666666667	16.6666666667
43.3333333333	86.6666666667
70.0	13.3333333333
93.3333333333	6.66666666667

Diversity
Exp. 1	0.932712676056
Exp. 2	0.936920187793
