Result Log
Cnf file: cnfs/3.cnf
Generator Seed: 1043593752
Config file contents: 

cnfs/3.cnf
logs/logdefault.txt
solutions/soldefault.txt
random
30
proportional
truncation
True 10000
True 15
True 15
True 2
100
200
No seed
plus
True

Run 1
7798	193	200
7998	198	200
8198	200	200
8398	200	200
8598	200	200
8798	200	200
8998	200	200
9198	200	200
9398	200	200
9598	200	200
9798	200	200
10096	169	200

Run 9
300	169	179
500	172	182
700	176	184
900	179	186
1100	182	189
1300	185	189
1500	187	195
1700	190	200
1900	193	200
2100	195	200
2300	197	200
2500	199	200
2700	200	200
2900	200	200
3100	200	200
3300	200	200
3500	200	200
3700	200	200
3900	200	200
4100	200	200
4300	200	200
4500	200	200
4700	200	200
4998	171	200
5198	177	200
5398	183	200
5598	191	200
5798	198	200
5998	200	200
6198	200	200
6398	200	200
6598	200	200
6798	200	200
6998	200	200
7198	200	200
7398	200	200
7598	200	200
7798	200	200
8096	169	200
8296	172	200
8496	177	200
8696	183	200
8896	192	200
9096	198	200
9296	200	200
9496	200	200
9696	200	200
9896	200	200
10096	200	200

Run 10
300	168	177
500	171	178
700	174	180
900	177	184
1100	180	189
1300	182	189
1500	185	189
1700	187	191
1900	189	191
2100	189	192
2300	190	193
2500	191	195
2700	192	195
2900	193	195
3100	193	195
3300	194	196
3500	195	196
3700	195	196
3900	196	196
4100	196	196
4300	196	196
4500	196	196
4700	196	196
4900	196	196
5100	196	196
5300	196	196
5500	196	196
5700	196	196
5900	196	196
6100	196	196
6300	196	196
6598	170	196
6798	174	196
6998	180	196
7198	186	197
7398	191	197
7598	194	197
7798	196	198
7998	196	198
8198	196	198
8398	197	198
8598	197	198
8798	198	198
8998	198	198
9198	198	198
9398	198	198
9598	198	198
9798	198	198
9998	198	198
10198	198	198

Run 11
300	169	181
500	172	184
700	176	184
900	179	186
1100	182	188
1300	185	191
1500	188	193
1700	190	195
1900	192	195
2100	193	197
2300	194	198
2500	196	199
2700	197	199
2900	198	199
3100	199	199
3300	199	199
3500	199	199
3700	199	199
3900	199	199
4100	199	199
4300	199	199
4500	199	199
4700	199	199
4900	199	199
5100	199	199
5300	199	199
5500	199	199
5798	171	199
5998	174	199
6198	178	199
6398	185	199
6598	193	199
6798	197	199
6998	198	199
7198	199	199
7398	199	199
7598	199	199
7798	199	199
7998	199	199
8198	199	199
8398	199	199
8598	199	199
8896	169	199
9096	173	199
9296	180	199
9496	188	199
9696	195	199
9896	198	199
10096	199	199

Run 12
300	170	180
500	173	183
700	177	188
900	181	188
1100	184	192
1300	187	192
1500	189	194
1700	191	194
1900	193	196
2100	194	196
2300	195	200
2500	196	200
2700	197	200
2900	198	200
3100	198	200
3300	199	200
3500	200	200
3700	200	200
3900	200	200
4100	200	200
4300	200	200
4500	200	200
4700	200	200
4900	200	200
5100	200	200
5300	200	200
5598	171	200
5798	176	200
5998	181	200
6198	188	200
6398	196	200
6598	200	200
6798	200	200
6998	200	200
7198	200	200
7398	200	200
7598	200	200
7798	200	200
7998	200	200
8198	200	200
8398	200	200
8696	170	200
8896	174	200
9096	178	200
9296	185	200
9496	192	200
9696	198	200
9896	200	200
10096	200	200

Run 13
300	169	182
500	172	182
700	175	182
900	177	184
1100	180	188
1300	184	190
1500	186	191
1700	189	194
1900	191	195
2100	192	196
2300	194	196
2500	195	196
2700	195	198
2900	196	198
3100	197	198
3300	197	198
3500	197	198
3700	198	198
3900	198	198
4100	198	198
4300	198	198
4500	198	198
4700	198	198
4900	198	198
5100	198	198
5300	198	198
5500	198	198
5700	198	198
5998	170	198
6198	174	198
6398	177	198
6598	184	198
6798	190	198
6998	196	198
7198	198	199
7398	198	199
7598	198	199
7798	198	199
7998	198	199
8198	198	199
8398	198	200
8598	198	200
8798	199	200
8998	199	200
9198	200	200
9398	200	200
9598	200	200
9798	200	200
9998	200	200
10198	200	200

Run 14
300	170	179
500	172	182
700	175	182
900	177	186
1100	180	190
1300	182	190
1500	185	196
1700	188	196
1900	190	197
2100	193	197
2300	195	198
2500	196	198
2700	197	200
2900	198	200
3100	198	200
3300	199	200
3500	200	200
3700	200	200
3900	200	200
4100	200	200
4300	200	200
4500	200	200
4700	200	200
4900	200	200
5100	200	200
5300	200	200
5500	200	200
5700	200	200
5998	170	200
6198	173	200
6398	179	200
6598	186	200
6798	194	200
6998	199	200
7198	200	200
7398	200	200
7598	200	200
7798	200	200
7998	200	200
8198	200	200
8398	200	200
8598	200	200
8798	200	200
9096	172	200
9296	176	200
9496	183	200
9696	189	200
9896	195	200
10096	199	200

Run 15
300	168	178
500	170	178
700	173	186
900	176	186
1100	180	190
1300	184	191
1500	187	192
1700	189	194
1900	191	195
2100	193	198
2300	194	198
2500	195	198
2700	197	198
2900	198	198
3100	198	198
3300	198	198
3500	198	198
3700	198	198
3900	198	198
4100	198	198
4300	198	198
4500	198	198
4700	198	198
4900	198	198
5100	198	198
5398	169	198
5598	174	198
5798	180	198
5998	186	198
6198	193	198
6398	197	198
6598	198	199
6798	198	199
6998	198	199
7198	198	199
7398	198	199
7598	198	199
7798	199	199
7998	199	199
8198	199	199
8398	199	199
8598	199	199
8798	199	199
8998	199	199
9198	199	199
9398	199	199
9598	199	199
9896	169	199
10096	173	199

Run 16
300	169	184
500	173	184
700	177	188
900	181	188
1100	183	189
1300	186	190
1500	188	193
1700	190	194
1900	192	194
2100	193	196
2300	194	197
2500	195	197
2700	196	198
2900	197	199
3100	197	199
3300	198	199
3500	199	199
3700	199	199
3900	199	199
4100	199	199
4300	199	199
4500	199	199
4700	199	199
4900	199	199
5100	199	199
5300	199	199
5500	199	199
5700	199	199
5900	199	199
6198	170	199
6398	174	199
6598	179	199
6798	187	199
6998	193	199
7198	198	199
7398	199	199
7598	199	199
7798	199	199
7998	199	199
8198	199	199
8398	199	199
8598	199	199
8798	199	199
8998	199	199
9296	172	199
9496	177	199
9696	184	199
9896	192	199
10096	197	199

Run 17
300	168	179
500	172	179
700	175	181
900	178	182
1100	180	185
1300	182	186
1500	184	192
1700	185	192
1900	187	192
2100	189	195
2300	191	196
2500	193	196
2700	195	196
2900	196	196
